Home Game #,Game Date,Year,Month,Day of Week,Weekend / Weekday,Game Time,Day/Night,Full Season Tickets (#),Full Season Revenue ($),Full Season Avg Price ($),Partial Season Tickets (#),Partial Season Revenue ($),Partial Season Avg Price ($),Group Tickets (#),Group Revenue ($),Group Avg Price ($),Single Game Tickets (#),Single Game Revenue ($),Single Game Avg Price ($),No-Show Rate,Total Tickets (#),Actual Attendance (#),Total Revenue ($),Average Ticket Price ($),Is First Month
48,2022-07-31,2022,July,Sunday,Weekend,13:10:00,Day Game,9552,444280.0,46.51,4372,162524.0,37.17,7053,242808.0,34.43,10544,418102.0,39.65,0.1578,31521,26547,1267714.0,40.22,False
49,2022-08-01,2022,August,Monday,Weekday,19:10:00,Night Game,9160,397057.0,43.35,3052,92036.0,30.16,2401,54080.0,22.52,7590,108679.0,14.32,0.1792,22203,18224,651852.0,29.36,False
50,2022-08-02,2022,August,Tuesday,Weekday,19:10:00,Night Game,8870,408633.0,46.07,3236,93005.0,28.74,2380,55077.0,23.14,7747,104598.0,13.5,0.1769,22233,18300,661313.0,29.74,False
51,2022-08-03,2022,August,Wednesday,Weekday,13:10:00,Day Game,8805,430846.0,48.93,2538,64697.0,25.49,6437,157156.0,24.41,7418,183251.0,24.7,0.1652,25198,21035,835950.0,33.18,False
52,2022-08-09,2022,August,Tuesday,Weekday,19:10:00,Night Game,8523,410871.0,48.21,3280,99428.0,30.31,2584,57717.0,22.34,7908,114090.0,14.43,0.1734,22295,18429,682106.0,30.59,False
53,2022-08-10,2022,August,Wednesday,Weekday,19:10:00,Night Game,8843,405227.0,45.82,3258,95513.0,29.32,2521,53294.0,21.14,7983,112617.0,14.11,0.175,22605,18649,666651.0,29.49,False
54,2022-08-11,2022,August,Thursday,Weekday,13:10:00,Day Game,9014,422194.0,46.84,2564,69399.0,27.07,6289,159999.0,25.44,7633,185487.0,24.3,0.1658,25500,21272,837079.0,32.83,False
55,2022-08-12,2022,August,Friday,Weekend,19:10:00,Night Game,9084,441335.0,48.58,4731,163564.0,34.57,6773,235578.0,34.78,11062,424644.0,38.39,0.1549,31650,26747,1265121.0,39.97,False
56,2022-08-13,2022,August,Saturday,Weekend,18:10:00,Night Game,9508,425974.0,44.8,4383,173234.0,39.52,6749,247604.0,36.69,11296,444252.0,39.33,0.1556,31936,26967,1291064.0,40.43,False
57,2022-08-14,2022,August,Sunday,Weekend,13:10:00,Day Game,9531,404986.0,42.49,4771,161345.0,33.82,6942,248920.0,35.86,11418,432930.0,37.92,0.1555,32662,27583,1248181.0,38.22,False
58,2022-08-23,2022,August,Tuesday,Weekday,19:10:00,Night Game,9056,433942.0,47.92,3122,96786.0,31.0,2511,53852.0,21.45,7723,114427.0,14.82,0.1775,22412,18434,699007.0,31.19,False
59,2022-08-24,2022,August,Wednesday,Weekday,19:10:00,Night Game,8733,402506.0,46.09,3039,92993.0,30.6,2384,55595.0,23.32,7556,108152.0,14.31,0.177,21712,17869,659246.0,30.36,False
60,2022-08-25,2022,August,Thursday,Weekday,19:10:00,Night Game,9066,405663.0,44.75,3138,93412.0,29.77,2444,54439.0,22.27,7829,111419.0,14.23,0.1772,22477,18494,664933.0,29.58,False
61,2022-08-26,2022,August,Friday,Weekend,19:10:00,Night Game,9052,445763.0,49.24,4732,159655.0,33.74,6754,255238.0,37.79,11440,423876.0,37.05,0.1535,31978,27069,1284532.0,40.17,False
62,2022-08-27,2022,August,Saturday,Weekend,18:10:00,Night Game,9089,418618.0,46.06,4711,164902.0,35.0,7249,243661.0,33.61,10710,420984.0,39.31,0.1552,31759,26830,1248165.0,39.3,False
63,2022-08-28,2022,August,Sunday,Weekend,13:10:00,Day Game,9431,440582.0,46.72,4358,173616.0,39.84,6686,243768.0,36.46,11294,426195.0,37.74,0.1553,31769,26835,1284161.0,40.42,False
64,2022-09-05,2022,September,Monday,Weekday,18:10:00,Night Game,8945,417473.0,46.67,3167,99525.0,31.43,2380,54756.0,23.01,8211,112028.0,13.64,0.1747,22703,18737,683782.0,30.12,False
65,2022-09-06,2022,September,Tuesday,Weekday,19:10:00,Night Game,8538,393471.0,46.08,3171,93686.0,29.54,2592,57285.0,22.1,7940,109215.0,13.76,0.1732,22241,18389,653657.0,29.39,False
66,2022-09-07,2022,September,Wednesday,Weekday,19:10:00,Night Game,9043,426340.0,47.15,3248,90713.0,27.93,2401,56739.0,23.63,7915,112695.0,14.24,0.1769,22607,18608,686487.0,30.37,False
67,2022-09-09,2022,September,Friday,Weekend,19:10:00,Night Game,9260,404483.0,43.68,4389,167578.0,38.18,7207,255495.0,35.45,11186,438372.0,39.19,0.154,32042,27108,1265928.0,39.51,False
68,2022-09-10,2022,September,Saturday,Weekend,18:15:00,Night Game,9205,416034.0,45.2,4517,164840.0,36.49,7287,242791.0,33.32,11283,453743.0,40.21,0.1535,32292,27335,1277408.0,39.56,False
69,2022-09-11,2022,September,Sunday,Weekend,13:10:00,Day Game,9174,418436.0,45.61,4536,165645.0,36.52,6996,245473.0,35.09,11360,439550.0,38.69,0.1537,32066,27137,1269104.0,39.58,False
70,2022-09-15,2022,September,Thursday,Weekday,18:20:00,Night Game,8575,396851.0,46.28,3231,95522.0,29.56,2417,53788.0,22.25,8121,107153.0,13.19,0.173,22344,18478,653314.0,29.24,False
71,2022-09-16,2022,September,Friday,Weekend,19:10:00,Night Game,8925,410190.0,45.96,4504,162764.0,36.14,6699,235215.0,35.11,10676,429978.0,40.28,0.1552,30804,26023,1238147.0,40.19,False
72,2022-09-17,2022,September,Saturday,Weekend,18:10:00,Night Game,8769,446236.0,50.89,4702,166021.0,35.31,6710,246555.0,36.74,11027,420223.0,38.11,0.1536,31208,26414,1279035.0,40.98,False
73,2022-09-18,2022,September,Sunday,Weekend,13:10:00,Day Game,9284,434755.0,46.83,4674,159506.0,34.13,6995,246144.0,35.19,11321,431727.0,38.14,0.1545,32274,27288,1272132.0,39.42,False
74,2022-09-27,2022,September,Tuesday,Weekday,19:10:00,Night Game,9196,434099.0,47.21,3116,92228.0,29.6,2532,54496.0,21.52,7563,110372.0,14.59,0.1791,22407,18394,691195.0,30.85,False
75,2022-09-28,2022,September,Wednesday,Weekday,19:10:00,Night Game,8999,421154.0,46.8,3238,90529.0,27.96,2512,56061.0,22.32,7501,112323.0,14.97,0.1786,22250,18276,680067.0,30.56,False
76,2022-09-30,2022,September,Friday,Weekend,19:10:00,Night Game,9584,406785.0,42.44,4352,163813.0,37.64,6771,245530.0,36.26,10609,431321.0,40.66,0.1582,31316,26362,1247449.0,39.83,False
77,2022-10-01,2022,October,Saturday,Weekend,18:20:00,Night Game,9450,430568.0,45.56,4583,161411.0,35.22,7169,244005.0,34.04,11095,423472.0,38.17,0.1555,32297,27275,1259456.0,39.0,False
78,2022-10-02,2022,October,Sunday,Weekend,13:10:00,Day Game,9252,408377.0,44.14,4700,160869.0,34.23,7171,247056.0,34.45,10671,416463.0,39.03,0.1562,31794,26828,1232765.0,38.77,False
79,2022-10-03,2022,October,Monday,Weekday,19:10:00,Night Game,8856,429089.0,48.45,3223,98836.0,30.67,2456,53458.0,21.77,7821,111885.0,14.31,0.1762,22356,18417,693268.0,31.01,False
80,2022-10-04,2022,October,Tuesday,Weekday,19:10:00,Night Game,8814,397752.0,45.13,3130,90661.0,28.97,2575,53469.0,20.76,7897,112438.0,14.24,0.175,22416,18493,654320.0,29.19,False
81,2022-10-05,2022,October,Wednesday,Weekday,15:10:00,Day Game,8943,392369.0,43.87,2529,66850.0,26.43,6430,159945.0,24.87,7524,176692.0,23.48,0.1655,25426,21218,795856.0,31.3,False
1,2023-03-30,2023,March,Thursday,Weekday,18:08:00,Night Game,9004,417657.0,46.39,5040,260966.0,51.78,5359,339470.0,63.35,17020,1516799.0,89.12,0.1399,36423,31327,2534892.0,69.6,True
2,2023-03-31,2023,March,Friday,Weekend,19:10:00,Night Game,8483,431739.0,50.89,4528,190288.0,42.02,7160,284042.0,39.67,10066,436335.0,43.35,0.1544,30237,25568,1342404.0,44.4,True
3,2023-04-01,2023,April,Saturday,Weekend,13:10:00,Day Game,8622,427772.0,49.61,4660,198126.0,42.52,7223,278286.0,38.53,10020,451347.0,45.04,0.1553,30525,25784,1355531.0,44.41,False
4,2023-04-02,2023,April,Sunday,Weekend,13:10:00,Day Game,8654,449961.0,51.99,4675,200375.0,42.86,6749,272562.0,40.39,10405,471487.0,45.31,0.155,30483,25758,1394385.0,45.74,False
5,2023-04-03,2023,April,Monday,Weekday,19:10:00,Night Game,8678,412056.0,47.48,3358,106848.0,31.82,2463,55945.0,22.71,6184,100947.0,16.32,0.1852,20683,16853,675796.0,32.67,False
6,2023-04-04,2023,April,Tuesday,Weekday,19:10:00,Night Game,8235,407162.0,49.44,3261,113041.0,34.66,2410,56947.0,23.63,6725,97887.0,14.56,0.1793,20631,16932,675037.0,32.72,False
7,2023-04-05,2023,April,Wednesday,Weekday,13:10:00,Day Game,8385,442640.0,52.79,2596,79513.0,30.63,6721,166703.0,24.8,5932,151676.0,25.57,0.1694,23634,19630,840532.0,35.56,False
8,2023-04-14,2023,April,Friday,Weekend,19:10:00,Night Game,8957,447971.0,50.01,4689,200759.0,42.81,6823,274813.0,40.28,10195,473091.0,46.4,0.1571,30664,25847,1396634.0,45.55,False
9,2023-04-15,2023,April,Saturday,Weekend,18:10:00,Night Game,8817,451888.0,51.25,4629,189332.0,40.9,7317,279869.0,38.25,9896,444048.0,44.87,0.1565,30659,25861,1365137.0,44.53,False
10,2023-04-16,2023,April,Sunday,Weekend,18:10:00,Night Game,8735,436822.0,50.01,4505,201599.0,44.75,7042,283137.0,40.21,10575,478175.0,45.22,0.1541,30857,26102,1399733.0,45.36,False
11,2023-04-17,2023,April,Monday,Weekday,19:10:00,Night Game,8170,436514.0,53.43,3269,107705.0,32.95,2369,56397.0,23.81,6387,95455.0,14.95,0.1813,20195,16534,696071.0,34.47,False
12,2023-04-18,2023,April,Tuesday,Weekday,19:10:00,Night Game,8864,434597.0,49.03,3342,111486.0,33.36,2325,56009.0,24.09,6652,95482.0,14.35,0.1838,21183,17290,697574.0,32.93,False
13,2023-04-19,2023,April,Wednesday,Weekday,19:10:00,Night Game,8161,438049.0,53.68,3257,105307.0,32.33,2477,52769.0,21.3,6196,96256.0,15.54,0.182,20091,16434,692381.0,34.46,False
14,2023-04-28,2023,April,Friday,Weekend,19:10:00,Night Game,8606,422820.0,49.13,4774,190548.0,39.91,6829,272431.0,39.89,10509,476333.0,45.33,0.1545,30718,25972,1362132.0,44.34,False
15,2023-04-29,2023,April,Saturday,Weekend,16:10:00,Day Game,8957,422174.0,47.13,4542,188884.0,41.59,7284,275435.0,37.81,10316,468319.0,45.4,0.1556,31099,26260,1354812.0,43.56,False
16,2023-04-30,2023,April,Sunday,Weekend,18:10:00,Night Game,9105,441367.0,48.48,4675,187316.0,40.07,6984,260264.0,37.27,10010,464301.0,46.38,0.1581,30774,25909,1353248.0,43.97,False
17,2023-05-01,2023,May,Monday,Weekday,19:10:00,Night Game,8273,445119.0,53.8,3414,113267.0,33.18,2345,53948.0,23.01,6442,95439.0,14.82,0.1818,20474,16752,707773.0,34.57,False
18,2023-05-02,2023,May,Tuesday,Weekday,19:10:00,Night Game,8452,423756.0,50.14,3132,108995.0,34.8,2318,56258.0,24.27,6340,97129.0,15.32,0.1833,20242,16532,686138.0,33.9,False
19,2023-05-03,2023,May,Wednesday,Weekday,13:10:00,Day Game,8797,417045.0,47.41,2622,73896.0,28.18,6578,162418.0,24.69,5930,159850.0,26.96,0.1721,23927,19809,813209.0,33.99,False
20,2023-05-15,2023,May,Monday,Weekday,19:10:00,Night Game,8401,428775.0,51.04,3152,113043.0,35.86,2313,53871.0,23.29,6767,98266.0,14.52,0.1803,20633,16913,693955.0,33.63,False
21,2023-05-16,2023,May,Tuesday,Weekday,19:10:00,Night Game,8547,415863.0,48.66,3378,110405.0,32.68,2488,55713.0,22.39,6472,98290.0,15.19,0.1825,20885,17073,680271.0,32.57,False
22,2023-05-17,2023,May,Wednesday,Weekday,19:10:00,Night Game,8374,417073.0,49.81,3215,104893.0,32.63,2486,56348.0,22.67,6295,100534.0,15.97,0.1826,20370,16650,678848.0,33.33,False
23,2023-05-19,2023,May,Friday,Weekend,19:10:00,Night Game,9109,450544.0,49.46,4673,193790.0,41.47,6915,279123.0,40.36,10357,443603.0,42.83,0.157,31054,26179,1367060.0,44.02,False
24,2023-05-20,2023,May,Saturday,Weekend,15:10:00,Day Game,8524,436549.0,51.21,4619,191633.0,41.49,6820,273623.0,40.12,10787,440974.0,40.88,0.1529,30750,26048,1342779.0,43.67,False
25,2023-05-21,2023,May,Sunday,Weekend,13:10:00,Day Game,8435,449524.0,53.29,4691,191013.0,40.72,7340,265800.0,36.21,10734,464340.0,43.26,0.1519,31200,26461,1370677.0,43.93,False
26,2023-05-29,2023,May,Monday,Weekday,15:10:00,Day Game,8191,426183.0,52.03,2581,75576.0,29.28,6418,176872.0,27.56,6161,155605.0,25.26,0.168,23351,19428,834236.0,35.73,False
27,2023-05-30,2023,May,Tuesday,Weekday,19:10:00,Night Game,8471,425830.0,50.27,3228,114764.0,35.55,2279,55193.0,24.22,6631,94583.0,14.26,0.1818,20609,16862,690370.0,33.5,False
28,2023-05-31,2023,May,Wednesday,Weekday,19:10:00,Night Game,8817,407191.0,46.18,3251,115122.0,35.41,2398,52767.0,22.0,6570,93799.0,14.28,0.1837,21036,17172,668879.0,31.8,False
29,2023-06-01,2023,June,Thursday,Weekday,19:10:00,Night Game,8514,414694.0,48.71,3299,112451.0,34.09,2404,53580.0,22.29,6601,95805.0,14.51,0.1818,20818,17033,676530.0,32.5,False
30,2023-06-02,2023,June,Friday,Weekend,19:10:00,Night Game,8546,450345.0,52.7,4786,202790.0,42.37,7108,263355.0,37.05,10028,456968.0,45.57,0.1553,30468,25736,1373458.0,45.08,False
31,2023-06-03,2023,June,Saturday,Weekend,15:10:00,Day Game,8884,437142.0,49.21,4639,187476.0,40.41,7436,282820.0,38.03,10845,451396.0,41.62,0.1534,31804,26925,1358834.0,42.73,False
32,2023-06-04,2023,June,Sunday,Weekend,13:10:00,Day Game,8847,450222.0,50.89,4672,184580.0,39.51,7118,266407.0,37.43,10426,439235.0,42.13,0.1552,31063,26242,1340444.0,43.15,False
33,2023-06-13,2023,June,Tuesday,Weekday,19:10:00,Night Game,8075,405500.0,50.22,3128,106276.0,33.98,2345,55477.0,23.66,6441,95847.0,14.88,0.1803,19989,16385,663100.0,33.17,False
34,2023-06-14,2023,June,Wednesday,Weekday,19:10:00,Night Game,8802,418207.0,47.51,3419,112079.0,32.78,2470,58090.0,23.52,6639,94370.0,14.21,0.183,21330,17427,682746.0,32.01,False
35,2023-06-15,2023,June,Thursday,Weekday,19:10:00,Night Game,8176,424893.0,51.97,3325,111622.0,33.57,2298,54958.0,23.92,6290,98195.0,15.61,0.1823,20089,16427,689668.0,34.33,False
36,2023-06-16,2023,June,Friday,Weekend,19:10:00,Night Game,8752,442941.0,50.61,4656,201941.0,43.37,7290,262998.0,36.08,10704,474989.0,44.37,0.1535,31402,26582,1382869.0,44.04,False
37,2023-06-17,2023,June,Saturday,Weekend,15:10:00,Day Game,9177,428367.0,46.68,4770,186930.0,39.19,6751,277619.0,41.12,10559,468725.0,44.39,0.1571,31257,26347,1361641.0,43.56,False
38,2023-06-18,2023,June,Sunday,Weekend,13:10:00,Day Game,9001,431206.0,47.91,4604,186025.0,40.41,7173,273158.0,38.08,10605,479697.0,45.23,0.1551,31383,26515,1370086.0,43.66,False
39,2023-06-19,2023,June,Monday,Weekday,19:10:00,Night Game,8730,430076.0,49.26,3455,112222.0,32.48,2387,56415.0,23.63,6544,93278.0,14.25,0.1836,21116,17239,691991.0,32.77,False
40,2023-06-20,2023,June,Tuesday,Weekday,19:10:00,Night Game,8342,415330.0,49.79,3254,105687.0,32.48,2281,55909.0,24.51,6655,94101.0,14.14,0.1809,20532,16818,671027.0,32.68,False
41,2023-06-21,2023,June,Wednesday,Weekday,13:10:00,Day Game,8819,408006.0,46.26,2624,76118.0,29.01,6208,170633.0,27.49,6001,147797.0,24.63,0.173,23652,19560,802554.0,33.93,False
42,2023-07-04,2023,July,Tuesday,Weekday,15:10:00,Day Game,8094,425858.0,52.61,2426,74882.0,30.87,6660,161944.0,24.32,5943,156247.0,26.29,0.1676,23123,19248,818931.0,35.42,False
43,2023-07-05,2023,July,Wednesday,Weekday,13:10:00,Day Game,8581,425793.0,49.62,2562,77961.0,30.43,6623,177272.0,26.77,5984,153153.0,25.59,0.1705,23750,19701,834179.0,35.12,False
44,2023-07-06,2023,July,Thursday,Weekday,19:10:00,Night Game,8455,430298.0,50.89,3201,104843.0,32.75,2299,53698.0,23.36,6192,91852.0,14.83,0.1845,20147,16430,680691.0,33.79,False
45,2023-07-07,2023,July,Friday,Weekend,19:10:00,Night Game,8511,441793.0,51.91,4786,197649.0,41.3,7379,274853.0,37.25,10702,453940.0,42.42,0.1524,31378,26596,1368235.0,43.6,False
46,2023-07-08,2023,July,Saturday,Weekend,18:15:00,Night Game,8786,438360.0,49.89,4595,188323.0,40.98,7375,287336.0,38.96,10660,467392.0,43.85,0.1536,31416,26591,1381411.0,43.97,False
47,2023-07-09,2023,July,Sunday,Weekend,13:10:00,Day Game,9121,448881.0,49.21,4504,192223.0,42.68,6997,267323.0,38.21,9973,453313.0,45.45,0.158,30595,25761,1361740.0,44.51,False
48,2023-07-24,2023,July,Monday,Weekday,19:10:00,Night Game,8253,443435.0,53.73,3150,105518.0,33.5,2387,55655.0,23.32,6136,96119.0,15.66,0.1832,19926,16276,700727.0,35.17,False
49,2023-07-25,2023,July,Tuesday,Weekday,19:10:00,Night Game,8779,425711.0,48.49,3182,112162.0,35.25,2343,57009.0,24.33,6738,93287.0,13.84,0.1826,21042,17200,688169.0,32.7,False
50,2023-07-26,2023,July,Wednesday,Weekday,19:10:00,Night Game,8594,421473.0,49.04,3318,115083.0,34.68,2286,53085.0,23.22,6203,97181.0,15.67,0.1853,20401,16621,686822.0,33.67,False
51,2023-07-28,2023,July,Friday,Weekend,19:10:00,Night Game,8451,443408.0,52.47,4862,190937.0,39.27,7172,262564.0,36.61,10872,475529.0,43.74,0.1521,31357,26588,1372438.0,43.77,False
52,2023-07-29,2023,July,Saturday,Weekend,18:15:00,Night Game,8575,456679.0,53.26,4564,199721.0,43.76,7258,285873.0,39.39,10671,451603.0,42.32,0.1527,31068,26324,1393876.0,44.87,False
53,2023-07-30,2023,July,Sunday,Weekend,13:10:00,Day Game,9124,432680.0,47.42,4683,201106.0,42.94,6902,272947.0,39.55,10780,473965.0,43.97,0.1557,31489,26586,1380698.0,43.85,False
54,2023-07-31,2023,July,Monday,Weekday,19:10:00,Night Game,8297,421261.0,50.77,3390,113661.0,33.53,2463,53991.0,21.92,6201,100722.0,16.24,0.183,20351,16627,689635.0,33.89,False
55,2023-08-01,2023,August,Tuesday,Weekday,19:10:00,Night Game,8392,414966.0,49.45,3379,113597.0,33.62,2364,53641.0,22.69,6700,96227.0,14.36,0.1807,20835,17070,678431.0,32.56,False
56,2023-08-02,2023,August,Wednesday,Weekday,13:10:00,Day Game,8366,411772.0,49.22,2477,78028.0,31.5,6234,164082.0,26.32,6000,153254.0,25.54,0.1702,23077,19149,807136.0,34.98,False
57,2023-08-11,2023,August,Friday,Weekend,19:10:00,Night Game,9221,436908.0,47.38,4635,192173.0,41.46,7007,267725.0,38.21,10275,440711.0,42.89,0.1576,31138,26231,1337517.0,42.95,False
58,2023-08-12,2023,August,Saturday,Weekend,18:15:00,Night Game,9048,420181.0,46.44,4546,188552.0,41.48,7265,279499.0,38.47,10211,466920.0,45.73,0.1564,31070,26211,1355152.0,43.62,False
59,2023-08-13,2023,August,Sunday,Weekend,13:10:00,Day Game,8663,433337.0,50.02,4767,193848.0,40.66,6866,279109.0,40.65,10243,447962.0,43.73,0.1556,30539,25787,1354256.0,44.35,False
60,2023-08-18,2023,August,Friday,Weekend,19:10:00,Night Game,9126,434294.0,47.59,4754,202989.0,42.7,6932,263296.0,37.98,10469,447205.0,42.72,0.1568,31281,26376,1347784.0,43.09,False
61,2023-08-19,2023,August,Saturday,Weekend,18:10:00,Night Game,9058,428664.0,47.32,4641,199729.0,43.04,7111,270899.0,38.1,10523,475311.0,45.17,0.1558,31333,26451,1374603.0,43.87,False
62,2023-08-20,2023,August,Sunday,Weekend,12:05:00,Day Game,8857,436103.0,49.24,4723,190339.0,40.3,6961,268693.0,38.6,10118,439448.0,43.43,0.1567,30659,25855,1334583.0,43.53,False
63,2023-08-21,2023,August,Monday,Weekday,19:10:00,Night Game,8347,410946.0,49.23,3176,106008.0,33.38,2469,56585.0,22.92,6394,95144.0,14.88,0.1818,20386,16680,668683.0,32.8,False
64,2023-08-22,2023,August,Tuesday,Weekday,19:10:00,Night Game,8234,436112.0,52.96,3246,112434.0,34.64,2308,55435.0,24.02,6147,96701.0,15.73,0.1835,19935,16277,700682.0,35.15,False
65,2023-08-23,2023,August,Wednesday,Weekday,19:10:00,Night Game,8484,426350.0,50.25,3423,108971.0,31.83,2317,55663.0,24.02,6194,99888.0,16.13,0.1847,20418,16647,690872.0,33.84,False
66,2023-08-24,2023,August,Thursday,Weekday,13:10:00,Day Game,8059,417685.0,51.83,2571,74241.0,28.88,6148,176085.0,28.64,6128,151417.0,24.71,0.1682,22906,19053,819428.0,35.77,False
67,2023-09-01,2023,September,Friday,Weekend,19:10:00,Night Game,9006,429028.0,47.64,4764,187180.0,39.29,7003,279341.0,39.89,10729,445970.0,41.57,0.1553,31502,26610,1341519.0,42.59,False
68,2023-09-02,2023,September,Saturday,Weekend,18:10:00,Night Game,8965,452288.0,50.45,4495,198150.0,44.08,7306,271793.0,37.2,9855,476019.0,48.3,0.1571,30621,25810,1398250.0,45.66,False
69,2023-09-03,2023,September,Sunday,Weekend,18:10:00,Night Game,8947,423850.0,47.37,4739,189570.0,40.0,7101,278104.0,39.16,10478,438997.0,41.9,0.1556,31265,26400,1330521.0,42.56,False
70,2023-09-08,2023,September,Friday,Weekend,19:10:00,Night Game,8681,438433.0,50.5,4929,199430.0,40.46,6813,275155.0,40.39,10215,457146.0,44.75,0.1561,30638,25855,1370164.0,44.72,False
71,2023-09-09,2023,September,Saturday,Weekend,18:10:00,Night Game,8976,457933.0,51.02,4624,202308.0,43.75,7227,281117.0,38.9,10708,474162.0,44.28,0.1546,31535,26660,1415520.0,44.89,False
72,2023-09-10,2023,September,Sunday,Weekend,13:10:00,Day Game,8592,417748.0,48.62,4790,201597.0,42.09,6749,267221.0,39.59,10219,463464.0,45.35,0.1556,30350,25628,1350030.0,44.48,False
73,2023-09-11,2023,September,Monday,Weekday,19:10:00,Night Game,8901,420851.0,47.28,3248,108561.0,33.42,2340,56804.0,24.28,6697,91660.0,13.69,0.1836,21186,17296,677876.0,32.0,False
74,2023-09-12,2023,September,Tuesday,Weekday,19:10:00,Night Game,8656,406590.0,46.97,3316,111549.0,33.64,2368,57964.0,24.48,6680,92314.0,13.82,0.1822,21020,17190,668417.0,31.8,False
75,2023-09-13,2023,September,Wednesday,Weekday,18:10:00,Night Game,8900,417199.0,46.88,3313,106366.0,32.11,2385,57001.0,23.9,6357,101148.0,15.91,0.1856,20955,17066,681714.0,32.53,False
76,2023-09-18,2023,September,Monday,Weekday,19:10:00,Night Game,8867,423923.0,47.81,3407,106122.0,31.15,2333,53177.0,22.79,6756,95481.0,14.13,0.1831,21363,17451,678703.0,31.77,False
77,2023-09-19,2023,September,Tuesday,Weekday,19:10:00,Night Game,8659,407502.0,47.06,3185,109037.0,34.23,2373,54404.0,22.93,6633,100841.0,15.2,0.1824,20850,17047,671784.0,32.22,False
78,2023-09-20,2023,September,Wednesday,Weekday,13:10:00,Day Game,8499,424941.0,50.0,2409,75514.0,31.35,6658,170992.0,25.68,5959,151790.0,25.47,0.1698,23525,19530,823237.0,34.99,False
79,2023-09-22,2023,September,Friday,Weekend,19:10:00,Night Game,8841,446221.0,50.47,4675,192562.0,41.19,7101,273603.0,38.53,9886,463276.0,46.86,0.1571,30503,25711,1375662.0,45.1,False
80,2023-09-23,2023,September,Saturday,Weekend,18:10:00,Night Game,8811,416188.0,47.24,4820,200808.0,41.66,7123,279110.0,39.18,10680,454316.0,42.54,0.1544,31434,26581,1350422.0,42.96,False
81,2023-09-24,2023,September,Sunday,Weekend,13:10:00,Day Game,8782,458569.0,52.22,4798,191458.0,39.9,7423,262554.0,35.37,10770,447925.0,41.59,0.1534,31773,26899,1360506.0,42.82,False
